no;km;parcours
558;40;MONTAUBAN - D61 - D125 (direction Montfort) - à droite VC - Pintillac - à gauche D30 - MONTFORT/MEU - D125 - BRETEIL - à gauche D68 - avant 4 voies, prendre à gauche VC (direction Bédée) – BEDEE (centre) - D72 (direction Montfort) puis tout de suite à droite VC (direction La Nouaye) - Blavon – VC – D62 - LA NOUAYE - à droite D62 – Le Bois de Pellan - à gauche D31 - à droite D261 - ST UNIAC - D261 - D61 - MONTAUBAN
561;74;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – ST ONEN LA CHLLE – VC – GAËL – D773 (direction Paimpont) – La Loriette - à droite D2 – CONCORET – à gauche à l’entrée du bourg VC – La Ville Danet – à droite D773 – PAIMPONT – D38 – PLELAN LE G D – D61 – ST PERAN – D35 – MONTFORT/MEU – D125 – D61 – MONTAUBAN
562;57;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – ST ONEN LA CHLLE – VC – GAËL – à gauche D30 – MUEL – 2ème à droite D59 (direction St Malon/Mel) – à gauche VC – BLERUAIS – D359 – tout droit D71 – tout droit VC – à gauche D31 – ST GONLAY – D31 – IFFENDIC – D30 – MONTFORT/ MEU – D125 – D61 – MONTAUBAN
563;41;MONTAUBAN – La Brohinière – D28 – D59 – LE CROUAIS – D59 – ST ONEN LA CHLLE – D59 – MUEL – à gauche D30 – ST MAUGAN – à droite D71 (direction St Malon) – 1ère à gauche VC – ST GONLAY – D31 – IFFENDIC – D61 – MONTAUBAN
566;74;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D35 (direction Plélan) - ST PERAN - D61 - PLELAN LE G D - D38 - PAIMPONT - à droite D773 (direction Gaël) - 1ère à gauche VC - La Ville Danet – VC - CONCORET - à droite D2 – La Loriette - à gauche D773 - GAËL - VC - ST ONEN LA CHLLE - D59 - LE CROUAIS - D28 - La Brohinière - MONTAUBAN
567;57;MONTAUBAN - D61 - D125 - MONTFORT/MEU - D30 - IFFENDIC - D31 - ST GONLAY - D31 (direction St Malon/Mel) - à droite VC3 (direction Bléruais) – tout droit D71 – tout droit D359 - BLERUAIS - D59 - MUEL - à gauche D30 - GAËL - VC - ST ONEN LA CHLLE - D59 - LE CROUAIS - D28 - La Brohinière - MONTAUBAN
568;41;MONTAUBAN - D61 - IFFENDIC - D31 - ST GONLAY - à droite VC – à droite D71 - ST MAUGAN - à gauche D30 - MUEL - à droite D59 - ST ONEN LA CHLLE - D59 - LE CROUAIS - D28 - La Brohinière - MONTAUBAN
571;68;MONTAUBAN – D28 (direction Romillé) – Tournebride – à droite D72 – BEDEE (centre) – VC – BRETEIL – à droite à l’église D68 (direction Cintré) – à droite D30 (direction Montfort) – à gauche D62 – TALENSAC – D62 – BREAL S/S MONTFORT – à droite D36 – ST THURIAL – D36 – TREFFENDEL – D36 – ST PERAN – D61 – IFFENDIC – D61 – MONTAUBAN
572;55;MONTAUBAN – D28 (direction Romillé) – Tournebride – à droite D72 – BEDEE (centre) – VC – BRETEIL – à droite à l’église D68 (direction Cintré) – à droite D30 (direction Montfort) – L’Abbaye – D30 – MONTFORT/MEU – D72 (direction Plélan Le Gd ) – D35 – ST PERAN – à droite D61 – IFFENDIC – D61 – MONTAUBAN
573;40;MONTAUBAN – D28 (direction Romillé) – Tournebride – à droite D72 – BEDEE (centre) – VC – BRETEIL – à droite à l’église D68 (direction Cintré) – à droite D30 (direction Montfort) – L’Abbaye – D30 – MONTFORT/MEU – D30 – IFFENDIC – à droite D61 – MONTAUBAN
576;68;MONTAUBAN - D61 - IFFENDIC - D61 - ST PERAN - D36 - TREFFENDEL - D36 - ST THURIAL - D36 - BREAL S/S MONTFORT - D62 - TALENSAC - D62 (direction Montfort) - à droite D30 (direction La Chlle Thouarault) - à gauche D68 - BRETEIL - à gauche D125 (direction Montfort) - au rond point sortie de Breteil, à droite VC – BEDEE (centre) - D72 (direction Irodouër) - Tournebride - à gauche D28 - MONTAUBAN
577;55;MONTAUBAN - D61 - IFFENDIC - D61 - ST PERAN – à droite D35 – D72 – MONTFORT/MEU - L’Abbaye – D30 (direction La Chlle Thouarault) - à gauche D68 - BRETEIL - à gauche D125 (direction Montfort) - au rond point sortie de Breteil, à droite VC – BEDEE (centre) - D72 (direction Irodouër) - Tournebride - à gauche D28 - MONTAUBAN
578;40;MONTAUBAN - D61 - IFFENDIC – D30 – MONTFORT/MEU – L’Abbaye - D30 (direction La Chelle Thouarault) - à gauche D68 - BRETEIL - à gauche D125 (direction Montfort) - au rond point sortie de Breteil, à droite VC – BEDEE (centre) - D72 (direction Irodouër) - Tournebride - à gauche D28 - MONTAUBAN
581;56;MONTAUBAN – D71 – LANDUJAN – D71 (direction Bécherel) – à droite D220 – traverser D70 – D220 – MINIAC S/S BECHEREL – à droite D68 (direction Romillé) – à gauche D221 – à droite VC – LANGAN – D80 (direction Gévezé) – 1ère à droite VC – traverser D28 – D231 (direction Parthenay de Bgne) – à droite avant le bourg D31 – traverser D21 – D31 – PLEUMELEUC – D68 – D31 – BEDEE (centre) – D72 (direction Montfort) – 1ère à droite VC (direction La Nouaye) – Blavon – VC – D62 – LA NOUAYE – à gauche VC – à droite D125 (direction Boisgervilly) – à droite D61 – MONTAUBAN
582;46;MONTAUBAN – D71 – LANDUJAN – D71 (direction Bécherel) – à droite D220 – traverser D70 – D220 – MINIAC S/S BECHEREL – à droite D68 (direction Romillé) – à droite D221 – IRODOUËR – à gauche D72 – BEDEE (centre) – D72 (direction Montfort) – 1ère à droite VC (direction La Nouaye) – Blavon – VC – D62 – LA NOUAYE – à gauche VC – à droite D125 (direction Boisgervilly) – à droite D61 – MONTAUBAN
583;35;MONTAUBAN – D71 – LANDUJAN – à droite et aussitôt à gauche D21 – IRODOUËR – à droite D72 – BEDEE (centre) – D72 (direction Montfort) – 1ère à droite VC (direction La Nouaye) – Blavon – VC – D62 – LA NOUAYE – à gauche VC – à droite D125 (direction Boisgervilly) – à droite D61 – MONTAUBAN
586;56;MONTAUBAN - D61 - D125 (direction Montfort) - à gauche VC - LA NOUAYE - à droite D62 – VC - Blavon – BEDEE (centre) – D31 – D68 - PLEUMELEUC - D68 (direction Romillé) - à droite D31 (direction Parthenay de Bgne) – traverser D21 - à l'entrée de Parthenay, à gauche D231 - traverser D28 - VC - LANGAN - tout droit VC (direction Irodouër) - à gauche D221 - tout droit D68 - MINIAC S/S BECHEREL - à gauche D220 - traverser D70 - D220 - à gauche D71 - LANDUJAN - D71 - MONTAUBAN
587;46;MONTAUBAN - D61 - D125 (direction Montfort) - à gauche VC - LA NOUAYE - à droite D62 - VC - Blavon – BEDEE (centre) – à droite après l'église et à gauche - à droite D72 - IRODOUËR - à droite D221 (direction Les Iffs) - à gauche D68 - MINIAC S/S BECHEREL - à gauche D220 - traverser D70 - D220 - à gauche D71 - LANDUJAN - D71 - MONTAUBAN
588;35;MONTAUBAN - D61 - D125 (direction Montfort) - à gauche VC - LA NOUAYE - à droite D62 - VC - Blavon – BEDEE (centre) - à droite après l'église et à gauche - à droite D72 - IRODOUËR - à gauche D21 - LANDUJAN - D71 - MONTAUBAN
591;69;MONTAUBAN – D61 – MEDREAC – à gauche D220 – QUEDILLAC – à droite D59 – D712 – ST JOUAN DE L’ISLE – D712 – à gauche D46 – PLUMAUGAT – D46 (direction Lanrelas) et aussitôt à gauche VC – La Gautraie – au rond point, à droite D76 (direction St Launeuc) – Les Treize Chênes – à gauche D52 – TREMOREL – à droite juste après église puis à droite à la mairie (direction Illifaut) – à droite D764 et aussitôt à gauche VC – La Biliaie – VC – à gauche D6 – ILLIFAUT – à gauche D66 – LE LOSCOUËT/MEU – D66 – D220 – ST MEEN LE GD – D59 – LE CROUAIS – D28 – La Brohinière – MONTAUBAN
592;53;MONTAUBAN – D61 – MEDREAC – à gauche D220 – QUEDILLAC – à droite D59 – D712 – ST JOUAN DE L’ISLE – D712 – à gauche D46 – PLUMAUGAT – D 46 (direction Lanrelas) et aussitôt à gauche VC – La Gautraie – au rond point D764 (direction St Méen) – passer sous 4 voies – VC – LE LOSCOUËT/MEU – à gauche D66 – D220 – ST MEEN LE GD – D59 – LE CROUAIS – D28 – La Brohinière – MONTAUBAN
593;38;MONTAUBAN – D61 – MEDREAC – à gauche D220 – QUEDILLAC – D220 (direction St Méen) – La Prévostais – à gauche D166 (direction St Méen) – à droite, Le Parson - ST MEEN LE G D (centre) – D59 (direction Montauban) et à droite après ligne de chemin de fer D59 – ST ONEN LA CH LLE – à gauche VC – D59 – LE CROUAIS – D28 – La Brohinière – MONTAUBAN
596;69;MONTAUBAN – La Brohinière – D28 - D59 – LE CROUAIS – D59 – ST MEEN LE GD – D 220 – D66 – LE LOSCOUËT/MEU – D66 - ILLIFAUT - D6 (direction Merdrignac) - 1ère à droite VC - La Biliaie – VC – à droite D764 et aussitôt à gauche - TREMOREL - D52 (direction Lanrelas) - Les Treize chênes - à droite D76 (direction St Méen) – au rond point à gauche VC - La Gautraie - VC - PLUMAUGAT - D46 (direction Caulnes) - à droite D712 - S T JOUAN DE L'ISLE - D712 – D59 - QUEDILLAC - D220 - MEDREAC - D61 - MONTAUBAN
597;53;MONTAUBAN – La Brohinière – D28 - D59 – LE CROUAIS – D59 – ST MEEN LE GD – D 220 – D66 – LE LOSCOUËT/MEU – à droite (direction Trémorel) et à gauche dans le bourg – à droite avant l'étang VC (direction Plumaugat) – au rond point D764 (direction Plumaugat) – passer sous 4 voies – à droite VC - La Gautraie – VC – PLUMAUGAT - D46 (direction Caulnes) - à droite D712 – ST JOUAN DE L'ISLE - D712 – D59 - QUEDILLAC - D220 - MEDREAC - D61 - MONTAUBAN
598;38;MONTAUBAN – La Brohinière – D28 - D59 – LE CROUAIS – D59 (direction St Méen) - à gauche D125 (direction Boisgervilly) - 1ère à droite VC - ST ONEN LA CHLLE – à droite D59 - ST MEEN LE GD (centre) – au rond point D166 (direction Dinan) – Le Parson - à gauche D166 (direction St Jouan de l’Isle) – La Prévostais - à droite D220 - QUEDILLAC - D220 - MEDREAC - D61 - MONTAUBAN
601;61;MONTAUBAN – D61 – BOISGERVILLY – D125 – ST MEEN LE GD – D220 – D66 – LE LOSCOUËT/ MEU – D66 – ILLIFAUT – à gauche D6 (direction Mauron) – D304 – Le Pont Ruelland – à gauche D303 – D30 – GAËL – D30 – MUEL – D30 – ST MAUGAN – à gauche D71 – BOISGERVILLY – D61 – MONTAUBAN
602;46;MONTAUBAN – D61 – BOISGERVILLY – D125 – ST MEEN LE GD – D220 – D66 – LE LOSCOUËT/MEU – D66 (direction Illifaut) – à gauche D58 – GAËL – D30 – MUEL – D30 – ST MAUGAN – à gauche D71 – BOISGERVILLY – D61 – MONTAUBAN
603;35;MONTAUBAN – D61 – BOISGERVILLY – D125 (direction St Méen) – à gauche VC – ST ONEN LA CHLLE – D59 – MUEL – à gauche D30 – S T MAUGAN – à gauche D71 – BOISGERVILLY – D61 – MONTAUBAN
606;61;MONTAUBAN – D61 – BOISGERVILLY – D71 – ST MAUGAN – à droite D30 – MUEL – D30 – GAËL – à gauche - D30 - D303 - Le Pont Ruelland - à droite D304 - D6 - ILLIFAUT - à droite D66 - LE LOSCOUET/MEU - D66 – D220 - ST MEEN LE G D - D125 - BOISGERVILLY - D61 - MONTAUBAN
607;46;MONTAUBAN – D61 – BOISGERVILLY – D71 – ST MAUGAN – à droite D30 – MUEL – D30 – GAËL – à droite après l'église et 2ème à gauche D58 (direction Trémorel) - à droite D66 - LE LOSCOUËT/MEU - D66 – D220 - ST MEEN LE GD - D125 - BOISGERVILLY - D61 - MONTAUBAN
608;35;MONTAUBAN – D61 – BOISGERVILLY – D71 – ST MAUGAN – à droite D30 – MUEL – à droite D59 - ST ONEN LA CHLLE - à droite VC - à droite D125 - BOISGERVILLY - D61 - MONTAUBAN
611;70;MONTAUBAN – D28 – ROMILLE – D28 – GEVEZE – D28 – LA MEZIERE – D28 – MELESSE – à gauche D82 – MONTREUIL LE GAST – D82 – GUIPEL – à gauche D221 – HEDE – D80 – ST GONDRAN – D80 – LANGAN – D25 – ROMILLE – D28 – MONTAUBAN
612;56;MONTAUBAN – D28 – ROMILLE – D28 – GEVEZE – D28 – LA MEZIERE – D28 (direction Melesse) – 1ère à gauche D425 – MONTREUIL LE GAST – à gauche D25 – VIGNOC – D25 – LANGOUËT – D25 – LANGAN – D25 – ROMILLE – D28 – MONTAUBAN
613;42;MONTAUBAN – D28 – ROMILLE – D28 (direction Gévezé) – à gauche après carrefour de la Croix des Trois Evêchés, D80 – LANGAN – D25 – ROMILLE – D28 – MONTAUBAN
616;70;MONTAUBAN – D28 – ROMILLE – D25 - LANGAN - D80 - ST GONDRAN - D80 - HEDE - à droite D221 - GUIPEL - à droite D82 - MONTREUIL LE GAST - D82 - MELESSE - à droite D28 - LA MEZIERE - D28 - GEVEZE - D28 - ROMILLE - D28 - MONTAUBAN
617;56;MONTAUBAN – D28 – ROMILLE – D25 - LANGAN - D25 - LANGOUËT - D25 - VIGNOC - D25 - MONTREUIL LE GAST - 1ère à droite D425 - à droite D28 - LA MEZIERE - D28 - GEVEZE - D28 - ROMILLE - D28 - MONTAUBAN
618;42;MONTAUBAN – D28 – ROMILLE – D25 - LANGAN – à droite D80 (direction Gévezé) – continuer tout droit sur la D80 jusqu’au croisement avec la D28 – à gauche D28 - ROMILLE - D28 - MONTAUBAN
621;81;MONTAUBAN – D61 – BOISGERVILLY – à gauche D71 – ST MAUGAN – à droite D30 – MUEL – 2ème à gauche VC (direction Concoret) – Chau de Comper – D141 – La Loriette – à gauche D773 – PAIMPONT – D773 – Les Forges – 1ère à droite VC – Le Cannée – à gauche D71 – BEIGNON – à gauche D724 – à droite VC (direction St Malo de Beignon) – D773 – ST MALO DE BEIGNON – D773 – BELLEVUE – à gauche VC – ST RAOUL – à gauche VC (direction Plélan le Gd) – La Peignardais – à gauche D259 – LE THELIN – D59 – PLELAN LE G D – D59 – S T MALON/MEL – D31 – ST GONLAY – D31 – IFFENDIC – D61 – MONTAUBAN
622;62;MONTAUBAN – D61 – BOISGERVILLY – à gauche D71 – ST MAUGAN – à droite D30 – MUEL – 2ème à gauche VC (direction Concoret) – Ch au de Comper – D141 – La Loriette – à gauche D773 – PAIMPONT – à gauche D38 – PLELAN LE GD – D59 – ST MALON/MEL – D31 – ST GONLAY – D31 – IFFENDIC – D61 – MONTAUBAN
623;45;MONTAUBAN – D61 – BOISGERVILLY – à gauche D71 – ST MAUGAN – à droite D30 – MUEL – 2ème à gauche VC (direction Concoret) – à gauche D31 (juste avant Chau de Comper) – ST MALON/MEL – D31 – ST GONLAY – D31 – IFFENDIC – D61 – MONTAUBAN
626;81;MONTAUBAN - D61 - IFFENDIC - D31 - ST GONLAY - D31 - ST MALON/MEL - D59 - PLELAN LE GD – à droite D724 et aussitôt à gauche D59 – LE THELIN - D259 (direction Guer) - à droite VC - ST RAOUL - à droite VC - Bellevue - à droite D773 - ST MALO DE BEIGNON - D773 - BEIGNON – à gauche D724 et à droite D124 (direction Beignon) - D71 - Le Cannée - à droite VC - Les Forges - à gauche D773 - PAIMPONT - D773 (direction Gaël) – La Loriette - à droite D141 - Chau de Comper - à gauche VC - MUEL – à droite D30 - ST MAUGAN - D30 - IFFENDIC - D61 - MONTAUBAN
627;62;MONTAUBAN - D61 - IFFENDIC - D31 - ST GONLAY - D31 - ST MALON/MEL - D59 - PLELAN LE GD - à droite D38 - PAIMPONT - D773 (direction Gaël) – La Loriette - à droite D141 - Chau de Comper - à gauche VC - MUEL - D30 - ST MAUGAN - D30 - IFFENDIC - D61 - MONTAUBAN
628;45;MONTAUBAN - D61 - IFFENDIC - D31 - ST GONLAY - D31 - ST MALON/MEL - D31 (direction Concoret) - à gauche D31 (direction Concoret) – à droite VC (juste avant le Ch au de Comper) - MUEL - D30 - ST MAUGAN - D30 - IFFENDIC - D61 - MONTAUBAN
631;73;MONTAUBAN – D61 – D125 – MONTFORT/MEU – D62 – TALENSAC – à gauche après le bourg D35 – CINTRE – à droite D34 – MORDELLES – à gauche D287 (direction L’Hermitage) – Sur la droite avant L’Hermitage D287 – à gauche D21 – D287 – ST GILLES – D21 (direction Romillé) – 1ère à droite D331 – PARTHENAY DE BGNE – à gauche à l’entrée du bourg D231 (direction Gévezé) – au stop (Croix des 3 Evêchés), à gauche D8 – ROMILLE – à gauche D21 – IRODOUËR – à gauche D72 (direction Bédée) – Tournebride – à droite D28 – MONTAUBAN
632;55;MONTAUBAN – D61 – D125 – MONTFORT/MEU – D62 – TALENSAC – 1ère à gauche VC – La Grande Porte – à droite D125 – BRETEIL – D125 (direction L’Hermitage) – La Pierre Blanche – à gauche VC – ST GILLES – D21 (direction Romillé) – 1ère à gauche – CLAYES – D421 – PLEUMELEUC – D68 – ROMILLE – D28 – MONTAUBAN
633;39;MONTAUBAN – D61 – D125 – MONTFORT/MEU – D125 (direction Breteil) – La Grande Porte – à gauche VC – BEDEE – à droite D31 – D68 – PLEUMELEUC – contourner l’église et 1ère à droite après route de Romillé VC – Les Noës – à gauche D28 (La Commelais) – Tournebride – D28 – MONTAUBAN
636;73;MONTAUBAN – D28 (direction Romillé) – Tournebride – à gauche D72 – IRODOUËR – à droite D21 - ROMILLE - D28 (direction Gévezé) – La Croix des 3 Evêchés, à droite D231 - PARTHENAY DE BGNE – à droite D331 - D21 - S T GILLES – tout droit (direction rennes) – à droite avant 4 voies, D287 - D21 - (direction Le Rheu) - à droite D287 - MORDELLES - à droite D34 - CINTRE - à gauche D35 - TALENSAC - D62 – MONTFORT/MEU - D125 - D61 - MONTAUBAN
637;55;MONTAUBAN – D28 – Tournebride – D28 - ROMILLE - D68 - PLEUMELEUC - D421 - CLAYES - D21 - ST GILLES - à droite VC - La Pierre Blanche - D125 - BRETEIL - D125 - La Grande Porte - à gauche VC - TALENSAC - D62 – MONTFORT/MEU - D125 - D61 - MONTAUBAN
638;39;MONTAUBAN – D28 - Tournebride – tout droit D28 (direction Romillé) - à droite VC (La Commelais) - Les Noës - PLEUMELEUC - D68 – D31 - BEDEE (centre) - à gauche VC (direction Breteil) - La Grande Porte - D125 – MONTFORT/MEU - D125 - D61 - MONTAUBAN
641;84;MONTAUBAN – D61 – IFFENDIC – D61 – ST PERAN – D61 – PLELAN LE GD – à droite à la sortie du bourg D38 – PAIMPONT – D40 – D312 – à droite D724 – CAMPENEAC – à droite D134 – à droite D141 – TREHORENTEUC – D141 – La Saudrais – à droite D141 – CONCORET – à droite D2 – La Loriette – D141 – Chau de Comper – à gauche VC – MUEL – à droite D30 – ST MAUGAN – à gauche D71 – BOISGERVILLY – D61 – MONTAUBAN
642;68;MONTAUBAN – D61 – IFFENDIC – D31 – ST GONLAY – D31 – ST MALON/MEL – D59 (direction Plélan le Gd) – à droite D71 – PAIMPONT – D40 (direction Campénéac) – Beauvais – à droite VC (direction Tréhorenteuc) – à droite VC – Folle Pensée – à droite D141 (direction Mauron) – La Saudrais – à droite D141 – CONCORET – à droite D2 – La Loriette – D141 – Chau de Comper – à gauche VC – MUEL – à droite D30 – ST MAUGAN – à gauche D71 – BOISGERVILLY – D61 – MONTAUBAN
643;53;MONTAUBAN – D61 – IFFENDIC – D31 – ST GONLAY – D31 – ST MALON/MEL – D59 (direction Plélan le Gd) – à droite D71 – PAIMPONT – à droite D773 (direction Gaël) – La Loriette – à droite D141 – Chau de Comper – à gauche VC – MUEL – à droite D30 – ST MAUGAN – à gauche D71 – BOISGERVILLY – D61 – MONTAUBAN
646;84;MONTAUBAN - D61 - BOISGERVILLY - D71 - ST MAUGAN - D30 - MUEL - 2ème à gauche VC - Chau de Comper - D141 – La Loriette - D2 - CONCORET - D141 (direction Néant/Yvel) - La Saudrais - à gauche D141 - TREHORENTEUC - D141 - à gauche D134 - CAMPENEAC - à gauche D724 (direction Plélan le Gd) - à gauche D312 - Beauvais - D40 - PAIMPONT - D38 - PLELAN LE GD - D61 - ST PERAN - D61 - IFFENDIC - D61 - MONTAUBAN
647;68;MONTAUBAN - D61 - BOISGERVILLY - D71 - ST MAUGAN - D30 - MUEL - 2ème à gauche VC - Chau de Comper - D141 – La Loriette - D2 - CONCORET - D141 (direction Néant/Yvel) - La Saudrais - à gauche D141 (direction Tréhorenteuc) - à gauche VC - Folle Pensée – VC - à gauche VC (direction Paimpont) - Beauvais - à gauche D40 - PAIMPONT - D71 - D59 - ST MALON/MEL - D31 - ST GONLAY - D31 - IFFENDIC - D61 - MONTAUBAN
648;53;MONTAUBAN - D61 - BOISGERVILLY - D71 - ST MAUGAN - D30 - MUEL - 2ème à gauche VC - Chau de Comper - D141 – La Loriette - à gauche D773 - PAIMPONT - à gauche D71 (direction St Malon) - D59 - ST MALON/MEL - D31 - ST GONLAY - D31 - IFFENDIC - D61 - MONTAUBAN
651;95;MONTAUBAN – D71 – LANDUJAN – D62 – ST PERN – D20 – D12 – PLOUASNE – à gauche D25 – GUITTE – D25 – CAULNES – à droite D766 (direction Dinan) puis à gauche D62 – YVIGNAC LA TOUR – D39 – TREDIAS – à droite D61 – LANGUEDIAS – à gauche D89 – à gauche D19 – MEGRIT – D52 – JUGON LES LACS – à gauche D16 – DOLO – à gauche D 60 (direction Broons) – D712 – BROONS – D712 – ST JOUAN DE L’ISLE – D712 – D59 – QUEDILLAC – D59 (direction Le Crouais) – à gauche D28 – La Brohinière – MONTAUBAN
652;72;MONTAUBAN – D71 – LANDUJAN – D62 – ST PERN – D20 – D12 – PLOUASNE – à gauche D25 – GUITTE – D25 – CAULNES – à droite D766 (direction Dinan) puis à gauche D62 – YVIGNAC LA TOUR – D39 – TREDIAS – à gauche D61 – Gare de BROONS – à droite D793 – BROONS – D712 – ST JOUAN DE L’ISLE – D712 – D59 – QUEDILLAC – D59 (direction Le Crouais) – à gauche D28 – La Brohinière – MONTAUBAN
653;52;MONTAUBAN – D71 – LANDUJAN – D62 – ST PERN – D20 – D12 – PLOUASNE – à gauche D25 – GUITTE – D25 – CAULNES – D25 (direction Broons) – Recouvrance – à gauche D712 – S T JOUAN DE L’ISLE – D712 – D59 – QUEDILLAC – D59 (direction Le Crouais) – à gauche D28 – La Brohinière – MONTAUBAN
656;95;MONTAUBAN - La Brohinière - D28 (direction Le Crouais) - à droite D59 - QUEDILLAC – D59 - D712 - ST JOUAN DE L'ISLE - D712 - BROONS - au rond point, D712 (direction Sévignac) puis tout droit D712 - ZA des Dineux - à droite VC passer sur 4 voies puis à gauche VC (direction Lamballe) – traverser D39 – à droite D60 - DOLO - D16 - JUGON LES LACS - à droite D52 - MEGRIT - à gauche D19 (direction Plélan le Petit) - à droite D89 - LANGUEDIAS - à droite D61 - TREDIAS - à gauche D39 - YVIGNAC LA TOUR - D62 - CAULNES - à gauche après l'église D25 - GUITTE - D25 - PLOUASNE - D12 - D20 - ST PERN - D62 - LANDUJAN - D71 - MONTAUBAN
657;72;MONTAUBAN - La Brohinière - D28 (direction Le Crouais) - à droite D59 - QUEDILLAC – D59 - D712 - ST JOUAN DE L'ISLE - D712 - BROONS - à droite D793 - Gare de Broons - à gauche D61 - TREDIAS - à droite D39 - YVIGNAC LA TOUR - D62 - CAULNES - à gauche après l'église D25 - GUITTE - D25 - PLOUASNE - D12 - D20 - ST PERN - D62 - LANDUJAN - D71 - MONTAUBAN
658;52;MONTAUBAN - La Brohinière - D28 (direction Le Crouais) - à droite D59 - QUEDILLAC – D59 -D712 - ST JOUAN DE L'ISLE - D712 (direction Broons) - Recouvrance - à droite D25 - CAULNES - à gauche après l'église D25 - GUITTE - D25 - PLOUASNE - D12 - D20 - ST PERN - D62 - LANDUJAN - D71 - MONTAUBAN
661;50;MONTAUBAN – D61 – IFFENDIC – D61 – ST PERAN – à gauche D35 – D72 – MONTFORT/ MEU – D125 (direction Breteil) – La Grande Porte – à gauche VC – BEDEE (centre) – D72 (direction Irodouër) – Tournebride – à gauche D28 – MONTAUBAN
662;41;MONTAUBAN – D61 – IFFENDIC – D63 (direction Monterfil) – Les 4 Routes d’Iffendic – à gauche D35 – D72 – MONTFORT/ MEU – D125 (direction Breteil) – La Grande Porte – à gauche VC – BEDEE (centre) – D72 (direction Irodouër) – Tournebride – à gauche D28 – MONTAUBAN
663;34;MONTAUBAN – D61 – à gauche D125 – MONTFORT/MEU – D125 (direction Breteil) – La Grande Porte – à gauche VC – BEDEE (centre) – D72 (direction Irodouër) – Tournebride – à gauche D28 – MONTAUBAN
666;50;MONTAUBAN – D28 (direction Romillé) – Tournebride – à droite D72 – BEDEE (centre) – à gauche et à droite VC (direction Breteil) – La Grande Porte – à droite D125 – MONTFORT/MEU – D72 - D35 - ST PERAN - à droite D61 - IFFENDIC – D61 – MONTAUBAN
667;41;MONTAUBAN – D28 (direction Romillé) – Tournebride – à droite D72 – BEDEE (centre) – à gauche et à droite VC (direction Breteil) – La Grande Porte – à droite D125 – MONTFORT/MEU – D72 (direction Plélan le Gd) – D35 – Les 4 Routes d’Iffendic – à droite D63 – IFFENDIC – D61 – MONTAUBAN
668;34;MONTAUBAN – D28 (direction Romillé) – Tournebride – à droite D72 – BEDEE (centre) – à gauche et à droite VC (direction Breteil) – La Grande Porte – à droite D125 – MONTFORT/MEU – D125 – D61 – MONTAUBAN
671;64;MONTAUBAN – D61 – MEDREAC – D61 – D89 – GUITTE – D89 (direction Yvignac) – 4ème à droite D39 – TREFUMEL – D39 – LE QUIOU – D39 – EVRAN – traverser D2 – D78 – D11 – TREVERIEN – à droite D79 (direction Trimer) – traverser D13 – D79 – Rollée – à gauche D79 – TRIMER – à droite D79 – LA BAUSSAINE – D79 (direction Cardroc) – à gauche VC – LES IFFS – à droite D221 – à gauche D27 et aussitôt à droite D221 – IRODOUËR – D221 (direction La Chlle du Lou) – D62 – La Saudraie – D262 – MONTAUBAN
672;52;MONTAUBAN – D61 – MEDREAC – à droite D220 – D20 – BECHEREL – D20 – LA BAUSSAINE – D20 (direction Tinténiac) – à droite VC – Ch au de Montmuran – LES IFFS – tout droit D221 – à gauche D27 et aussitôt à droite D221 – IRODOUËR – D221 (direction La Chlle du Lou) – D62 – La Saudraie – D262 – MONTAUBAN
673;37;MONTAUBAN – D61 – MEDREAC – à droite D 220 (direction Bécherel) – D20 – à droite D220 puis traverser D71 et D70 – D220 – MINIAC S/S BECHEREL – à droite D68 (direction Romillé) – à droite D221 – IRODOUËR – D221 (direction La Chlle du Lou) – D62 – La Saudraie – D262 – MONTAUBAN
676;64;MONTAUBAN - D262 - La Saudraie - D62 - D221 - IRODOUËR - D221 (direction Les Iffs) - à gauche D27 et aussitôt à droite D221 - LES IFFS - à gauche VC (direction Cardroc) - à droite D79 - LA BAUSSAINE - tout droit D79 - TRIMER - à gauche D79 – Vieux Bourg – à droite D79 - TREVERIEN - D11 - D78 - EVRAN - tout droit D39 - LE QUIOU - D39 - TREFUMEL - D39 (direction Caulnes) - à gauche D89 - GUITTE - D89 - D61 - MEDREAC - D61 - MONTAUBAN
677;52;MONTAUBAN - D262 - La Saudraie - D62 - D221 - IRODOUËR - D221 (direction Les Iffs) - à gauche D27 et aussitôt à droite D221 - LES IFFS - tout droit VC - Chau de Montmuran – VC - à gauche D20 - LA BAUSSAINE - D20 - BECHEREL - D20 - D220 - MEDREAC - D61 - MONTAUBAN
678;37;MONTAUBAN - D262 - La Saudraie - D62 - D221 - IRODOUËR - D221 (direction Les Iffs) - à gauche D68 - MINIAC S/S BECHEREL – à gauche D220 - traverser D70 et D71 - D220 - MEDREAC - D61 - MONTAUBAN
681;63;MONTAUBAN – D61 – BOISGERVILLY – D71 – ST MAUGAN – à droite D30 – MUEL – D30 – GAËL – à gauche avant le bourg D773 – PAIMPONT – D38 – PLELAN LE GD – D61 – ST PERAN – D61 – IFFENDIC – D61 – MONTAUBAN
